title,salary_from,salary_to
QA Lead (Python),,
Middle Python разработчик,,
Разработчик бэкенда на Python и Go в Вертикали,,
Разработчик бэкенда на Python и Go в Вертикали,,
Разработчик бэкенда на Python и Go в Вертикали,,
Разработчик ETL / Python,,
Senior Python developer,200000,300000
BackEnd-разработчик Python (Middle/Senior),,
Тимлид \ Team Lead (управление 5 Junior'ами) stack: Python (Django) + PostgreSQL,30000,
"Python разработчик (Middle +, Senior)",170000,
"Python разработчик (Middle +, Senior)",,
Middle/Senior Python Developer [Bridge],,
Python Developer (MDR),,
Python developer / Python разработчик,,
Python Developer,,
Инженер по автоматизации тестирования (Python),,
Инженер по автоматизации (Python/Flask),,
Python Developer,,
"Full-stack developer (Python, VueJS)",170000,
Разработчик Python,,
Разработчик Python (Middle+),100000,
QA Automation Engineer (Python),,
"QA Engineer Python (Cyprus, релокация)",,
Python-разработчик в Кинопоиск,,
QA Automation Engineer (Python),,
Разработчик Python (Наставник),42000,84000
"Преподаватель программирования Roblox, Python",,
Разработчик Python,,
Senior QA Automation (Python),,
Python Developer / Backend (Middle),150000,300000
Преподаватель Python в IT - школу,150000,
Преподаватель Python в IT - школу,,
Python developer,,
Разработчик в тестировании / SDET (Python),,
Strong junior / Middle Python разработчик,,
Разработчик Python / Python Developer,,
Python разработчик,,
Python-разработчик,,
SDET (Selenium WebDriver + Python),150000,
Разработчик на С++ / Python в группу систем управления флотом роботов,,
Разработчик Python,,
Middle Python разработчик,,
Python developer / Разработчик Python (KORNFELD),,
Python developer / Разработчик Python (KORNFELD),,
Python developer / Разработчик Python (KORNFELD),,
Senior Python developer,,
Senior Python developer,,
QA Lead Python,,
Senior Python Developer,4000,
Разработчик python (Junior),,
Ведущий программист (Python),,
Python-разработчик,150000,
Python-разработчик,,
Python Fullstack программист (Junior) Digital Alliance,150000,
AQA Engineer Python (Platform V Kintsugi),,
Middle (Senior) Developer - Python (Django) / WebApp Telegram-Bot,,150000
"Преподаватель для детей по курсу ""Python""",,
Разработчик Python,250000,350000
Python-разработчик,,130000
Python-разработчик (junior),,70000
Автоматизированный тестировщик (Python),,
SDET разработчик (Selenium WebDriver + Python),150000,
Backend developer (Python),,
Backend Python Developer,200000,
Senior Python developer,200000,400000
Стажер-разработчик Python,,
Backend Python Lead,,
Python developer / Разработчик Python (KORNFELD),,
Python developer,,
Senior AQA (Python),,
Senior AQA (Python),,
Middle AQA (Python),,
Программист Python (Отдел разработки и интеграции CRM-систем),170000,
Программист Python (Отдел разработки и интеграции CRM-систем),170000,
Team/Tech Lead Python,,
Senior Python Developer,,
Разработчик Python (Middle),200000,
Программист Python junior,300,1000
Разработчик Python (Middle),130000,180000
Python​​​​​​​-разработчик (Backend),100000,120000
Backend Разработчик (Python),,
"Руководитель команды разработки/Team Lead (Java, .NET, GO, Python)",,
Специалист Python (здравоохранение),75000,85000
"Аналитик (Python, Selenium)",65000,75000
Инженер-программист (python),,
"Руководитель направления разработки | Head of Development (Cи, Python)",,
QA Automation Engineer Python,,
"Инженер по автоматизации тестирования на Python, B2B, Ozon Bank",,
Python developer / Python разработчик (FastAPI),,
Руководитель разработки на Python,200000,300000
Инженер-тестировщик АФТ (Python),,
Python middle+ разработчик,,250000
Middle Python Developer (Firewall),,
Senior Автотестировщик Python,80000,140000
Senior Автотестировщик Python,,
Python-разработчик,,
Python Developer,,
QA Automation engineer (Python),,
Python developer,80000,140000
Программист Python,115000,250000
"Automation QA (Python, ansible)",,
Python developer,150000,200000
Python Infrastructure Engineer (ADAS),,
Middle Python Developer,,
QA Automation Python,,
QA Automation Python,,
Senior Python developer (outstaff),,200000
Python Full Stack Developer,,
Python разработчик,,
Аналитик-разработчик (python),,
Middle python разработчик,,
QA Automation (Python),,
QA Auto (Python),,
Senior Python Developer,,
Python Developer,100000,180000
Python Developer,,
"Senior QA Engineer (Python)/ Инженер по автотестированию (DevOps, Platforms and Security Team)",,
Python-разработчик,100000,180000
Junior Automation QA Engineer (Python),,
Программист Python,,
Разработчик Python,,
Senior QA Automation Engineer (Python),,
"Программист С/С++, Python, Arduino",80000,
Python разработчик,,
Ведущий тестировщик (Python),,
Python разработчик,,
Программист Python (Fast API),30000,70000
Backend Developer Python (Middle),,
Руководитель группы разработки (Python),,
Senior QA Auto (Python),300000,350000
Аналитик данных на Python,1000,3000
Senior Backend developer (Python),180000,230000
Middle / Middle+ Python разработчик,2500,
Разработчик бота на Python,,
Ведущий Автотестировщик Python - Senior QA Automation Engineer Python,270000,
Python Senior,650000,2200000
Python Senior,,
Программист C++ и Python,,
Ведущий разработчик Python (frontend),650000,2200000
Python-разработчик,150000,200000
Python Mentor,20000000,24000000
Инженер сопровождения (SQL/Python),,
Python разработчик,,
Senior Python developer (MS),,
Python разработчик на бэкенд (Junior - Middle),,
Старший инженер программист Python,,
Senior Software Engineer (Python),,
"QA Automation Engineer Python, ERP и учетные системы",,
Backend Developer / Python/Django / Middle+/Senior,170000,270000
Junior Python Developer,65000,
Senior Python Developer,,
Python Developer (Middle),,
Python-разработчик (middle),,
Python-разработчик (middle),,
"Python/Java-разработчик (Департамент ""Управление ресурсами предприятия"")",,
Разработчик Python,,
"Преподаватель курса ""Python для машинного обучения"" ПИМЛ",3500,
"Преподаватель курса ""Python для машинного обучения"" ПИМЛ",,
Python разработчик,,
